"q2","q3","q4","q6","q7","q7_7_text","q19","q12","q12_5_text","q13","q14","q14_12_text","q57","q15","q20","q16","q11","q11_9_text","q17","q40_1","q41","q42","q43","q121","q46_1","q47","q48","q49","q122","q51_1","q52","q53","q54","q123","q23_1","q24","q25","q26","q124","q34_1","q35","q36","q37","q125","q28_1","q29","q30","q31","q126","age","male","educ","married","white","race","preference","sexuality","straight","trans","religion","religiosity","ideo5","partyid","viewer_party","democrat_respondent","partisan_id","poli_interest","employment","employed","income","treatment","same_party"
1979,"Female","2-year college degree","Married","White,Hispanic or Latino",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Moderately important","Liberal","Democrat","Most of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"Probably not","Probably not","Probably not","Probably not",39,0,4,1,0,18,1,3,1,0,1,3,4,1,0,1,0,4,8,1,6,2,1
1990,"Male","4-year college degree","Married","Black or African-American",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Extremely important","Liberal","Democrat","Some of the time","Working full time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,"Very probably","Definitely","Very probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,5,1,0,2,2,3,1,0,11,5,4,1,0,1,0,3,8,1,7,2,1
1983,"Male","4-year college degree","Domestic/civil partnership","White",NA,"Men","Gay man",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Some of the time","Working full time now",NA,"$100,000 - $119,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"Probably","Possibly","Possibly","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,5,0,1,11,1,2,0,0,2,1,4,1,0,1,0,3,8,1,11,0,NA
1951,"Female","4-year college degree","Divorced","White",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Some of the time","Working part time now",NA,"$10,000 - $19,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,"Probably not","Probably not","Probably not","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,5,0,1,11,1,3,1,0,2,1,4,1,0,1,0,3,9,0,2,0,NA
1963,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Slightly important","Conservative","Republican","Most of the time","Working full time now",NA,"$30,000 - $39,999",95,"Definitely","Very probably","Very probably","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,1,5,0,1,11,2,3,1,0,11,2,2,3,2,0,2,4,8,1,4,0,NA
1972,"Female","Some college, but no degree (yet)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Moderately important","Very liberal","Democrat","Only now and then","Working full time now",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Probably not","Possibly","Probably not","Very probably",NA,NA,NA,NA,NA,46,0,3,1,1,11,1,3,1,0,10,3,5,1,0,1,0,2,8,1,3,1,0
1974,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Slightly important","Conservative","Republican","Most of the time","Other","Self employed","$60,000 - $69,999",NA,NA,NA,NA,NA,91,"Definitely","Probably","Possibly","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1,5,0,1,11,2,3,1,0,10,2,2,3,2,0,2,4,1,0,7,1,NA
1980,"Male","4-year college degree","Divorced","White,Native American",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Conservative","Republican","Most of the time","Working full time now",NA,"$20,000 - $29,999",95,"Definitely","Very probably","Very probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,1,5,0,0,22,2,3,1,0,10,5,2,3,2,0,2,4,8,1,3,0,NA
1958,"Male","High school graduate","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Conservative","Independent","Most of the time","Working full time now",NA,"$80,000 - $89,999",90,"Definitely","Definitely","Probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1,2,1,1,11,2,3,1,0,1,1,2,2,1,0,1,4,8,1,9,0,NA
1967,"Male","Some college, but no degree (yet)","Never married","White",NA,"Women","Bisexual",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Most of the time","Permanently disabled",NA,"Less than $10,000",NA,NA,NA,NA,NA,81,"Possibly","Very probably","Possibly","Definitely not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1,3,0,1,11,2,1,0,0,2,1,4,1,0,1,0,4,2,0,1,1,0
1993,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Very important","Moderate","Republican","Some of the time","Working full time now",NA,"$50,000 - $59,999",73,"Definitely","Very probably","Very probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1,5,0,1,11,2,3,1,0,11,4,3,3,2,0,2,3,8,1,6,0,NA
1994,"Male","Some college, but no degree (yet)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Not at all important","Liberal","Independent","Some of the time","Working part time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"Definitely","Definitely","Definitely","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,3,0,1,11,2,3,1,0,9,1,4,2,1,0,1,3,9,0,5,2,0
1986,"Female","2-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Very conservative","Republican","Hardly at all","Working full time now",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"Probably","Probably not","Possibly","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0,4,1,1,11,1,3,1,0,1,1,1,3,2,0,2,1,8,1,3,0,NA
1995,"Male","4-year college degree","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Very liberal","Democrat","Hardly at all","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,"Definitely not","Definitely not","Definitely not","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1,5,0,1,11,1,3,1,0,2,1,5,1,0,1,0,1,8,1,5,0,NA
1972,"Female","2-year college degree","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Most of the time","Working full time now",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,"Possibly","Possibly","Probably not","Very probably",46,0,4,0,1,11,1,3,1,0,2,1,4,1,0,1,0,4,8,1,8,2,1
1969,"Female","4-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Independent","Some of the time","Permanently disabled",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Possibly","Possibly","Probably not","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,0,5,1,1,11,1,3,1,0,2,1,4,2,1,0,1,3,2,0,3,0,NA
1986,"Female","4-year college degree","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Slightly important","Liberal","Democrat","Most of the time","Working full time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,"Very probably","Definitely","Probably","Very probably",NA,NA,NA,NA,NA,32,0,5,0,1,11,1,3,1,0,9,2,4,1,0,1,0,4,8,1,7,1,0
1988,"Female","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Never married","Hispanic or Latino,Asian or Asian-American",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"Very probably","Very probably","Possibly","Definitely",30,0,6,0,0,7,1,3,1,0,2,1,5,1,0,1,0,4,8,1,5,2,1
1991,"Male","High school graduate","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Conservative","Independent","Some of the time","Working part time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,90,"Possibly","Very probably","Probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1,2,0,1,11,2,3,1,0,1,1,2,2,1,0,1,3,9,0,6,1,1
1993,"Male","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Eastern or Greek Orthodox",NA,"Extremely important","Liberal","Republican","Most of the time","Working full time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,73,"Very probably","Definitely","Definitely","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1,5,1,1,11,2,3,1,0,4,5,4,3,2,0,2,4,8,1,7,1,NA
1990,"Male","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Moderate","Independent","Hardly at all","Working full time now",NA,"$20,000 - $29,999",50,"Possibly","Possibly","Probably not","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,5,1,1,11,2,3,1,0,1,1,3,2,1,0,1,1,8,1,3,0,NA
1968,"Female","Some college, but no degree (yet)","Divorced","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Slightly important","Moderate","Democrat","Most of the time","Working full time now",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,"Probably","Very probably","Very probably","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,3,0,1,11,2,3,1,0,11,2,3,1,0,1,0,4,8,1,3,2,1
1991,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Liberal","Democrat","Some of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,85,"Probably","Probably","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1,5,0,1,11,2,3,1,0,1,1,4,1,0,1,0,3,8,1,6,1,0
1978,"Female","4-year college degree","Never married","Black or African-American",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Conservative","Independent","Most of the time","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,"Possibly","Possibly","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,5,0,0,2,1,3,1,0,10,5,2,2,1,0,1,4,8,1,5,0,NA
1989,"Male","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Slightly important","Moderate","Republican","Some of the time","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,88,"Definitely","Definitely","Definitely","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1,5,1,1,11,2,3,1,0,1,2,3,3,2,0,2,3,8,1,5,1,NA
